Account,Debit,Credit,Account Name,Type,Net Balance
1000,382450.0,0.0,Cash - Operating,Asset,382450.0
1100,246800.0,0.0,Accounts Receivable,Asset,246800.0
1200,18000.0,0.0,Prepaid Insurance,Asset,18000.0
1300,9600.0,0.0,Prepaid Software,Asset,9600.0
1500,145000.0,0.0,Fixed Assets,Asset,145000.0
1590,0.0,18500.0,Accumulated Depreciation,Contra Asset,-18500.0
2000,0.0,118750.0,Accounts Payable,Liability,-118750.0
2100,0.0,27400.0,Accrued Expenses,Liability,-27400.0
2200,0.0,318000.0,Deferred Revenue,Liability,-318000.0
3000,0.0,100000.0,Common Stock,Equity,-100000.0
3100,0.0,85000.0,Retained Earnings,Equity,-85000.0
4000,0.0,420000.0,Subscription Revenue,Revenue,-420000.0
4100,0.0,65000.0,Professional Services Revenue,Revenue,-65000.0
5000,185000.0,0.0,Cost of Revenue,Expense,185000.0
6100,98000.0,0.0,Payroll Expense,Expense,98000.0
6200,26500.0,0.0,Software Expense,Expense,26500.0
6300,22000.0,0.0,Rent & Facilities,Expense,22000.0
6400,14500.0,0.0,Professional Fees,Expense,14500.0
6500,6800.0,0.0,Travel & Meals,Expense,6800.0
6600,4300.0,0.0,Insurance Expense,Expense,4300.0
